AveCarelessness,AveKnow,AveCorrect.x,AveResBored,AveResEngcon,AveResConf,AveResFrust,AveResOfftask,AveResGaming,NumActions,isSTEM
0.158848225,0.2551641,0.379657603,0.222795806,0.650079058,0.069987405,0.164347459,0.153146586,0.236799637,993,0
0.094195371,0.191948307,0.413249211,0.261455246,0.638636026,0.063971248,0.129858195,0.234331233,0.045096384,317,0
0.111159403,0.250838364,0.5,0.273188488,0.646944495,0.104601634,0.131631829,0.230005112,0.040233379,406,0
0.126401241,0.229988259,0.445407279,0.242690549,0.658863123,0.11235571,0.132229992,0.185330182,0.077827163,577,0
0.093224036,0.146352073,0.309661437,0.211405366,0.655710893,0.079307519,0.102919704,0.126860415,0.245489485,1211,0
0.089865373,0.150901156,0.327910959,0.221344054,0.658255944,0.101942282,0.112645191,0.137648703,0.173189271,1168,0
0.06911221,0.116830269,0.29109063,0.199463905,0.664513142,0.084895379,0.133487635,0.113942855,0.34492697,1302,0
0.044333818,0.08263669,0.20441989,0.197507964,0.686581079,0.029041796,0.127445198,0.132935205,0.423624681,724,0
0.069040948,0.109228933,0.293759513,0.19551639,0.68763229,0.089650886,0.12416391,0.112046335,0.348984254,1314,0
0.074881376,0.133110071,0.317147193,0.23021498,0.670286534,0.099246563,0.116013729,0.184888129,0.290471083,659,0
0.169664472,0.297971702,0.438938053,0.241800569,0.640110033,0.146503288,0.181725542,0.176985023,0.093635129,565,0
0.110482946,0.190228621,0.320954907,0.20240968,0.671484179,0.068526429,0.115887104,0.120193884,0.304868907,754,0
0.059882402,0.124838161,0.25594564,0.199612449,0.64029796,0.041017035,0.177366914,0.126429499,0.411619009,883,0
0.209695695,0.343990855,0.483568075,0.228066808,0.665455464,0.142619785,0.148875241,0.16289193,0.064983433,852,0
0.136739483,0.214899781,0.385779123,0.251739946,0.646650791,0.104086652,0.201503902,0.178139475,0.072044808,661,0
0.075705446,0.110542184,0.289261745,0.200605855,0.686994739,0.103558891,0.166431771,0.115070713,0.278564845,1490,0
0.096086109,0.164541237,0.31596829,0.207023279,0.680437788,0.06845693,0.130189523,0.121759236,0.319915868,1766,0
0.075872366,0.124884503,0.2875,0.200606112,0.678982634,0.04182862,0.137934535,0.121386299,0.433287583,640,0
0.133940073,0.196622041,0.316353887,0.229503822,0.660983513,0.093955249,0.121002309,0.275007927,0.254896538,1119,0
