text,created_at,author_id,id,conversation_id,source,possibly_sensitive,in_reply_to_user_id
Please help us RT and consider donating to help relaunch the work Margaret started to shift #scienceeducation #NGSS #3Dteachingandlearning https://t.co/vxwtuPowt5,2021-01-06T00:50:49.000Z,3279907796,1346620199894564865,1346620199894564865,Twitter for iPhone,FALSE,NA
What lab materials can you find in MOST middle school science classrooms? We want to make sure that our thinking matches reality. Please share your thoughts on this 1 minute survey. https://t.co/jkazFl3Ipm #NGSSchat,2021-01-06T00:45:32.000Z,1010324664198066177,1346618870132572160,1346618870132572160,Hootsuite Inc.,FALSE,NA
"I recently saw a post about a college professor using @ngsnavigators as a resource in science methods class due to COVID-19.  How cool is that? How has @ngsnavigators improved your NGSS understanding?
#SciEd #NGSS #Equity https://t.co/tMr3bNswl8",2021-01-06T00:39:37.000Z,61829645,1346617382085812227,1346617382085812227,Twitter for iPhone,FALSE,NA
"I'm thrilled to be a part of this project behind the scenes. If you work in or like to promote science education, I would recommend taking a look and consider giving your support.

#SciEd #ngsschat https://t.co/m8cQeWPwAd",2021-01-06T00:30:13.000Z,461653415,1346615017207173124,1346615017207173124,Twitter Web App,FALSE,NA
PLS RT. Excited 2 honor &amp; build on the legacy of Margaret O’Sullivan &amp; her work w the re-launch of @ngsnavigators w great colleagues @wandabryant @jengutierrez18 and others n the science education community! #NGSSChat @NGSS_tweeps #NGSS @CSSSupervisors https://t.co/jKY1I7ZTEe,2021-01-06T00:15:05.000Z,22293234,1346611206967189512,1346611206967189512,Twitter for iPhone,FALSE,NA
"Inspired by Margaret's legacy, NGS Navigators will continue as a nonprofit organization dedicated to providing engaging and effective #NGSS content.

But we need your help in raising funds to relaunch the podcast and programs. Please read and retweet the letter below. 

#ngsschat https://t.co/ur7ChF8NGY",2021-01-06T00:00:00.000Z,3317960226,1346607414099935232,1346607414099935232,TweetDeck,FALSE,NA
PLTW Launch is designed to meet your science learning needs. Learn more here =&gt;https://t.co/lxgISCqGjB  #NGSSChat #stem #integratedSTEM https://t.co/mVbVjdZrez,2021-01-05T23:45:06.000Z,17276863,1346603663838633984,1346603663838633984,Hootsuite Inc.,FALSE,NA
"@NGSS_tweeps However, the SEP I was not prepared for how difficult it would be to support in remote learning has been ""Analyzing and Interpreting Data"". I have struggled with how to support Ss who struggle with this one -- how to help students find and describe trends and make it meaningful.",2021-01-05T23:24:01.000Z,1023054370529857536,1346598356760584192,1346467740949901312,Twitter for Android,FALSE,1023054370529857536
"@NGSS_tweeps I definitely think ""planning and conducting investigations"" is the most difficult to support in remote learning, especially through the lens of equitable experiences.",2021-01-05T23:21:56.000Z,1023054370529857536,1346597832246108171,1346467740949901312,Twitter for Android,FALSE,4918507542
"January 31st is the FINAL registration deadline for the @calwater #CalWaterH2OChallenge! 

#Teachers: join this #PBL classroom competition that's Common Core State Standards and NGSS-aligned, while competing for a $3,500 class grant!

Register today at https://t.co/tWAw1PZZq2 https://t.co/np9x6oCJFS",2021-01-05T23:10:03.000Z,23679615,1346594844043583491,1346594844043583491,Hootsuite Inc.,FALSE,NA
"@NGSS_tweeps In class, I provide yet limit the materials. ‘Using the materials of your choice from the counter, plan and conduct an investigation...’ Virtual teaching I demonstrate using very common materials (water bottles for the win!), and then brainstorm other options.",2021-01-05T23:09:06.000Z,1555906686,1346594603164606465,1346592668483084290,Twitter for iPhone,FALSE,4918507542
"@NGSS_tweeps How do you support students to feel confident sharing ideas in break out rooms? Do you give sentence starters, assign roles, or model behavior?",2021-01-05T23:08:42.000Z,1211837761444954120,1346594503432409088,1346592668483084290,Twitter Web App,FALSE,4918507542
"What a whole thread of some of mine and @HannahKiser18 's best virtual investigations and engineering challenges in one thread? Complete with all the blank sheets, forms, and slides you need to make them happen? You know it! #NGSS #chemistry https://t.co/2gaovYTbwY",2021-01-05T22:58:01.000Z,14449947,1346591814023663616,1346591814023663616,Twitter Web App,FALSE,NA
"Did you know that mass is NOT the same as weight? A lot of the time, the more mass an object has, the more it weighs. However, mass and weight are not the same thing. Learn more at https://t.co/MqN8B973qR 

#STEM #physics #physicalscience #handsonlearning #handsonmindson #NGSS https://t.co/TNteuvi7gI",2021-01-05T22:13:34.000Z,1224532117037600769,1346580628175638528,1346580628175638528,Twitter Web App,FALSE,NA
2nd grade inventor!  How to make a pole at the North Pole and keep it from moving....⁦@EmpresaKnights⁩ #ngss ⁦@VistaBlueprint⁩ https://t.co/bKwPe36Jzt,2021-01-05T21:37:32.000Z,2463455545,1346571559880650753,1346571559880650753,Twitter for iPhone,FALSE,NA
Join us for: Teaching #Enviroliteracy &amp; #ClimateJustice🌿⚖️ https://t.co/iLbQPnbKWM @MCOE_Now @HCPUCSC1 @daisymsc @WilliamFranzell @adoptedelf @gomehead2000 @KSokkerr @SantillanOlivia @LauraHistoryOG @auntjennoelle @California_ELI #HSSCLIC #Region5HSS #NGSS #STEAM #TeachSDGs #PBL https://t.co/erhH4DdcaE,2021-01-05T21:30:41.000Z,1025005434,1346569835698786305,1346569835698786305,Twitter Web App,FALSE,NA
"Opportunity 2: The inclusion of engineering in the NGSS

By emphasizing engineering, #NGSS affirms the historical contributions that non-Western cultures have made to science, allows students to solve problems that matter to their lives, &amp; promotes creativity and innovation. https://t.co/EzMvTWRysC",2021-01-05T21:01:43.000Z,1342104169,1346562543872057346,1346562536951394307,Twitter Web App,FALSE,1342104169
"Opportunity 1: The NGSS help students make meaningful connections across content areas. 

Integration of subject areas strengthens science learning, offering multiple entry points to build and deepen understanding. https://t.co/6XCIy96oZd",2021-01-05T21:01:42.000Z,1342104169,1346562540160114688,1346562536951394307,Twitter Web App,FALSE,1342104169
"The design of #NGSS creates opportunities for ALL students to engage in science learning at high levels. 

Today’s we’ll explore some of these opportunities and why they matter, especially for students from low-income backgrounds and non-dominant communities. https://t.co/M2pucLZxin",2021-01-05T21:01:41.000Z,1342104169,1346562536951394307,1346562536951394307,Twitter Web App,FALSE,NA
"January 31st is the FINAL registration deadline for the @calwater #CalWaterH2OChallenge! 

#Teachers: join this #PBL classroom competition that's Common Core State Standards and NGSS-aligned, while competing for a $3,500 class grant!

Register today at https://t.co/beGSMNc0iX",2021-01-05T21:00:34.000Z,1225119246276915200,1346562257099120642,1346562257099120642,Hootsuite Inc.,FALSE,NA
"Carl... it’s gotten worse... but nothing that a great public education system can’t fix if we have the right leadership.
@DrBiden @JoeBiden We (public school educators) are ready to help work to make our schools the best they can be for everyone throughout our country.
#NGSS https://t.co/SHw5m6MVDL",2021-01-05T20:46:37.000Z,1502223462,1346558746856714240,1346558746856714240,Twitter for iPhone,FALSE,NA
